#	time	Reference	Challenge	m1	m2	count	scoreblob	scorecolor	sc1(alignment)
64	16.54	Image_1079.jpg	colorTag_67.jpg	112	1928	0	0.0	0.0003187500000000343
65	22.02	Image_1079.jpg	colorTag_68.jpg	112	4649	0	0.0	0.00017934027777777306
66	46.69	Image_1079.jpg	colorTag_69.jpg	112	781	0	0.0	0.00034288194444442865
67	15.06	Image_1079.jpg	colorTag_7.jpg	112	443	0	0.0	0.00021822916666669467
68	14.39	Image_1079.jpg	colorTag_70.jpg	112	1389	0	0.0	0.00019409722222218928
69	16.17	Image_1079.jpg	colorTag_71.jpg	112	1177	0	0.0	0.0001868055555555026
70	17.68	Image_1079.jpg	colorTag_72.jpg	112	1160	0	0.0	0.00016510416666670746
71	16.81	Image_1079.jpg	colorTag_73.jpg	112	247	0	0.0	0.0004055555555555479
72	14.78	Image_1079.jpg	colorTag_74.jpg	112	1077	0	0.0	0.00020086805555552534
73	18.01	Image_1079.jpg	colorTag_75.jpg	112	718	0	0.0	0.00024184027777773842
74	15.36	Image_1079.jpg	colorTag_76.jpg	112	1154	0	0.0	0.00017899305555557632
75	16.49	Image_1079.jpg	colorTag_77.jpg	112	18	0	0.0	0.000469791666666719
76	13.85	Image_1079.jpg	colorTag_78.jpg	112	1232	1	0.001488095238095238	0.0005373263888889257
77	15.73	Image_1079.jpg	colorTag_79.jpg	112	165	0	0.0	0.0001642361111111601
78	14.08	Image_1079.jpg	colorTag_8.jpg	112	0	0	0.0	0.00018055555555551717
79	14.02	Image_1079.jpg	colorTag_80.jpg	112	836	1	0.0	0.000210937500000008
80	15.51	Image_1079.jpg	colorTag_81.jpg	112	16	0	0.0	0.00015798611111106364
81	14.11	Image_1079.jpg	colorTag_82.jpg	112	792	0	0.0	0.00021788194444449793
82	15.29	Image_1079.jpg	colorTag_83.jpg	112	479	0	0.0	0.00012743055555552996
83	15.45	Image_1079.jpg	colorTag_84.jpg	112	216	1	0.006097560975609756	0.0004748263888888493
84	14.72	Image_1079.jpg	colorTag_85.jpg	112	2099	1	0.0009045680687471732	0.00023923611111109633
85	22.54	Image_1079.jpg	colorTag_86.jpg	112	2715	0	0.0	0.0001887152777777512
86	28.95	Image_1079.jpg	colorTag_87.jpg	112	13	0	0.0	0.00016267361111110823
87	14.00	Image_1079.jpg	colorTag_88.jpg	112	2886	0	0.0	0.00019166666666670107
88	28.57	Image_1079.jpg	colorTag_89.jpg	112	808	0	0.0	0.00021111111111116188
89	15.99	Image_1079.jpg	colorTag_9.jpg	112	3876	0	0.0	0.0005029513888888948
90	38.79	Image_1079.jpg	colorTag_90.jpg	112	1615	0	0.0	0.00017083333333334227
91	19.06	Image_1079.jpg	colorTag_91.jpg	112	1353	0	0.0	0.00024809027777772386
92	16.73	Image_1079.jpg	colorTag_92.jpg	112	1886	1	0.0	0.00023993055555560083
93	21.18	Image_1079.jpg	colorTag_93.jpg	112	271	0	0.0	0.00022760416666667282
94	15.40	Image_1079.jpg	colorTag_94.jpg	112	1649	2	0.001135718341851221	0.0002717013888888786
95	19.67	Image_1079.jpg	colorTag_95.jpg	112	586	1	0.0028653295128939827	0.00018802083333335773
96	15.35	Image_1079.jpg	colorTag_96.jpg	112	413	0	0.0	0.0002789930555555653
97	14.63	Image_1079.jpg	colorTag_97.jpg	112	434	0	0.0	0.00015138888888888147
98	14.70	Image_1079.jpg	colorTag_98.jpg	112	622	1	0.0027247956403269754	0.00026753472222218466
99	15.07	Image_1079.jpg	colorTag_99.jpg	112	690	0	0.0	0.000509548611111077
100	15.28	Image_1103.jpg	colorTag_0.jpg	43	359	0	0.0	0.0006480902777777908
1	14.45	Image_1103.jpg	colorTag_1.jpg	43	673	0	0.0	0.0003756944444444077
2	14.90	Image_1103.jpg	colorTag_10.jpg	43	264	0	0.0	0.0003814236111111535
3	14.16	Image_1103.jpg	colorTag_11.jpg	43	373	0	0.0	0.0006432291666667034
4	14.29	Image_1103.jpg	colorTag_12.jpg	43	294	0	0.0	0.00027986111111111267
5	14.25	Image_1103.jpg	colorTag_13.jpg	43	72	0	0.0	0.00041093749999998597
6	14.05	Image_1103.jpg	colorTag_14.jpg	43	973	0	0.0	0.0004015625000000078
7	15.21	Image_1103.jpg	colorTag_15.jpg	43	784	0	0.0	0.00042725694444445406
8	15.19	Image_1103.jpg	colorTag_16.jpg	43	1195	0	0.0	0.000713541666666706
9	16.85	Image_1103.jpg	colorTag_17.jpg	43	604	0	0.0	0.0006524305555555276
10	14.51	Image_1103.jpg	colorTag_18.jpg	43	2511	0	0.0	0.0007079861111111141
11	32.14	Image_1103.jpg	colorTag_19.jpg	43	1606	0	0.0	0.00033697916666663996
12	21.37	Image_1103.jpg	colorTag_2.jpg	43	166	0	0.0	0.00045121527777780557
13	14.14	Image_1103.jpg	colorTag_20.jpg	43	684	0	0.0	0.0003368055555555971
14	15.47	Image_1103.jpg	colorTag_21.jpg	43	713	1	0.0	0.0005749999999999922
15	15.29	Image_1103.jpg	colorTag_22.jpg	43	3372	0	0.0	0.0005524305555555387
16	47.27	Image_1103.jpg	colorTag_23.jpg	43	3600	0	0.0	0.0006236111111110887
17	41.92	Image_1103.jpg	colorTag_24.jpg	43	2269	1	0.0	0.0005140624999999677
18	26.91	Image_1103.jpg	colorTag_25.jpg	43	2936	0	0.0	0.0004486111111111635
19	41.26	Image_1103.jpg	colorTag_26.jpg	43	503	0	0.0	0.00042291666666671723
20	14.95	Image_1103.jpg	colorTag_27.jpg	43	2279	0	0.0	0.00034565972222222463
21	29.36	Image_1103.jpg	colorTag_28.jpg	43	1060	0	0.0	0.000321875000000027
22	15.73	Image_1103.jpg	colorTag_29.jpg	43	445	0	0.0	0.00044618055555556424
23	15.01	Image_1103.jpg	colorTag_3.jpg	43	1498	0	0.0	0.00023819444444439508
24	19.89	Image_1103.jpg	colorTag_30.jpg	43	435	0	0.0	0.0005557291666666853
25	15.07	Image_1103.jpg	colorTag_31.jpg	43	1390	0	0.0	0.00032864583333336306
26	19.55	Image_1103.jpg	colorTag_32.jpg	43	2010	0	0.0	0.00042847222222219816
27	27.90	Image_1103.jpg	colorTag_33.jpg	43	879	0	0.0	0.0003880208333333357
28	15.94	Image_1103.jpg	colorTag_34.jpg	43	664	0	0.0	0.0004826388888888866
29	15.10	Image_1103.jpg	colorTag_35.jpg	43	765	0	0.0	0.0002963541666666236
30	16.29	Image_1103.jpg	colorTag_36.jpg	43	1479	0	0.0	0.00046822916666666714
31	16.67	Image_1103.jpg	colorTag_37.jpg	43	444	0	0.0	0.00042013888888892126
32	14.33	Image_1103.jpg	colorTag_38.jpg	43	2607	0	0.0	0.00044809027777781285
33	33.40	Image_1103.jpg	colorTag_39.jpg	43	1130	0	0.0	0.0003536458333333048
34	15.34	Image_1103.jpg	colorTag_4.jpg	43	1074	0	0.0	0.00046232638888887845
35	17.09	Image_1103.jpg	colorTag_40.jpg	43	1465	0	0.0	0.0003157986111110844
36	17.12	Image_1103.jpg	colorTag_41.jpg	43	1021	0	0.0	0.0004427083333333748
37	17.48	Image_1103.jpg	colorTag_42.jpg	43	1369	0	0.0	0.00025138888888887045
38	16.38	Image_1103.jpg	colorTag_43.jpg	43	529	0	0.0	0.0003699652777777729
39	14.61	Image_1103.jpg	colorTag_44.jpg	43	164	0	0.0	0.000421875000000016
40	14.35	Image_1103.jpg	colorTag_45.jpg	43	1086	0	0.0	0.0005692708333333574
41	16.43	Image_1103.jpg	colorTag_46.jpg	43	399	0	0.0	0.0005380208333333192
42	14.68	Image_1103.jpg	colorTag_47.jpg	43	1538	0	0.0	0.00027621527777776933
43	20.46	Image_1103.jpg	colorTag_48.jpg	43	828	0	0.0	0.0003420138888888813
44	15.05	Image_1103.jpg	colorTag_49.jpg	43	1673	0	0.0	0.00023697916666665098
45	19.19	Image_1103.jpg	colorTag_5.jpg	43	1802	0	0.0	0.00046666666666661527
46	19.63	Image_1103.jpg	colorTag_50.jpg	43	1441	0	0.0	0.0005810763888889348
47	17.23	Image_1103.jpg	colorTag_51.jpg	43	2425	0	0.0	0.0002913194444444933
48	31.14	Image_1103.jpg	colorTag_52.jpg	43	1353	0	0.0	0.00037152777777782475
49	17.70	Image_1103.jpg	colorTag_53.jpg	43	797	0	0.0	0.0003303819444444578
50	15.60	Image_1103.jpg	colorTag_54.jpg	43	832	0	0.0	0.0007822916666666568
51	16.20	Image_1103.jpg	colorTag_55.jpg	43	492	0	0.0	0.0005671874999999549
52	14.57	Image_1103.jpg	colorTag_56.jpg	43	974	0	0.0	0.0006131944444444093
53	15.69	Image_1103.jpg	colorTag_57.jpg	43	1288	0	0.0	0.00043454861111114074
54	18.68	Image_1103.jpg	colorTag_58.jpg	43	195	0	0.0	0.0003413194444444878
55	13.84	Image_1103.jpg	colorTag_59.jpg	43	673	0	0.0	0.00046284722222222907
56	14.71	Image_1103.jpg	colorTag_6.jpg	43	354	0	0.0	0.0004489583333333602
57	14.13	Image_1103.jpg	colorTag_60.jpg	43	20	0	0.0	0.00017760416666667833
58	13.87	Image_1103.jpg	colorTag_61.jpg	43	222	0	0.0	0.0007965277777777224
59	14.95	Image_1103.jpg	colorTag_62.jpg	43	3203	0	0.0	0.0004276041666666508
60	33.81	Image_1103.jpg	colorTag_63.jpg	43	458	0	0.0	0.0003418402777777274
61	14.58	Image_1103.jpg	colorTag_64.jpg	43	949	1	0.0020161290322580645	0.00020937499999995612
62	16.58	Image_1103.jpg	colorTag_65.jpg	43	1048	0	0.0	0.0006906249999999448
63	15.77	Image_1103.jpg	colorTag_66.jpg	43	296	0	0.0	0.00031440972222218644
64	14.33	Image_1103.jpg	colorTag_67.jpg	43	1279	0	0.0	0.0004937499999999595
65	18.30	Image_1103.jpg	colorTag_68.jpg	43	4145	0	0.0	0.0007010416666666242
66	60.85	Image_1103.jpg	colorTag_69.jpg	43	1324	0	0.0	0.00038107638888884576
67	17.76	Image_1103.jpg	colorTag_7.jpg	43	164	0	0.0	0.000271180555555528
